N,Titulo,link
1,Emprendeduros Clips,https://www.youtube.com/watch?v=dvecqwfU6xw
2,The Wild Project,https://www.youtube.com/watch?v=_NA2qSSy9lo
3,Pol Corominas,https://www.youtube.com/watch?v=Nq_J7QE9wBk
4,Antena 2,https://www.youtube.com/watch?v=40-RknvYPRc
5,The Wild Project,https://www.youtube.com/watch?v=b-G3O5dkP9w
6,Latin Ludens,https://www.youtube.com/watch?v=QFD6wkswbgQ
7,Rafa Laguna,https://www.youtube.com/watch?v=4giPa2IVOuM
8,UNODC - United Nations Office on Drugs and Crime,https://youtu.be/ikZOJnbrSRI
9,Paradigma Digital,https://www.youtube.com/watch?v=6slr9ZXVNZ4
10,Berlin Gonzalez,https://www.youtube.com/watch?v=mph5Z5uzQ4M
11,JuanJo Bande ,https://www.youtube.com/watch?v=fiuHwqjYE0c
12,Growth (En.Digital) - por Product Hackers,https://youtu.be/2lMLNsAe-hE
13,elDiarioes,https://www.youtube.com/watch?v=6IbXGeOLD8s
14,Cine PREMIERE,https://www.youtube.com/watch?v=HINyiUYbixo
15,nanutria,https://www.youtube.com/watch?v=akg7RG76Coo
16,Cine PREMIERE,https://www.youtube.com/watch?v=hCr2DqauSac
17,Platzi,https://www.youtube.com/watch?v=TvW-lsfnvds
18,BCNChile,https://www.youtube.com/watch?v=SjO_wc4z5ro
19,Caracol Podcast,https://www.youtube.com/watch?v=o5rW8pexdNs&list=PLnhqF6BFKCmwYwdEfmWGn4qUxweNc-rBT
20,Tecnología Educativa,https://www.youtube.com/watch?v=yJk6Ai6AEC0
21,Ep. 203 - Cosas que debes de saber antes de casarte (feat. Sincerely Mvu & Diego Lombardi),https://www.youtube.com/watch?v=eOETfDPOvSU
22,"Dices que quieres, pero no lo haces ¿por qué?",https://www.youtube.com/watch?v=dyjXSG-kVkk
23,Filosofía para cuestionar el mundo que nos rodea,https://www.youtube.com/watch?v=u2G5hSsC1UI
24,Versión Completa. Matemáticas para la vida real,https://www.youtube.com/watch?v=V33U1OsFVnQ
25,Jordi Wild colapsado cuando Darma le explica lo increíblemente difícil que es aprender japonés,https://www.youtube.com/watch?v=-5tOreXuE7Y
26,Inteligencia Emocional - Podcast 53,https://www.youtube.com/watch?v=WDqXWA5pBUE
27,"AURONPLAY: ""A mí, ¿quién me hace reír?"" [ENTREVISTA SMDANI]",https://www.youtube.com/watch?v=zaiAv6H7meA
28,50 COSAS NUEVAS SOBRE MI,https://www.youtube.com/watch?v=chDY-IXlIns
29,"Tú preguntas, Auron responde. #1",https://www.youtube.com/watch?v=Lz3tRWOd3ro
30,"The Wild Project #110 ft Rubius | La presión de ser el n.1, Su nueva vida, Mala relación con prensa",https://www.youtube.com/watch?v=AaZXTNxwrRU
31,El ex-nazi David Saavedra muestra sus tremendos tatuajes nazis y cuenta por qué no los ha borrado,https://www.youtube.com/watch?v=OxJFIHPakq8
32,CREATIVO #167 - FRANCO ESCAMILLA,https://www.youtube.com/watch?v=SIWd0GX6u-E
33,Por qué la curiosidad es tu mejor herramienta para aprender | Diana Uribe en Platzi,https://www.youtube.com/watch?v=k1MBCZr5kMg
34,Diana Uribe - Primera Guerra Mundial - Cap. 01 Introducción,https://www.youtube.com/watch?v=5v1is3_Mk9o
35,El papel de la narrativa en los videojuegos,https://www.youtube.com/watch?v=yysbc4RNKPQ
36,Charla sobre picaresca en juegos de mesa con Calvo Expósito,https://www.youtube.com/watch?v=zVBETCsjqRs
37,Cómo SUBIR tu PODCAST a GOOGLE PODCASTS,https://www.youtube.com/watch?v=-gbVjm2W_tE
38,El Podcast de Arte: Como saber si una obra de arte es buena,https://www.youtube.com/watch?v=OHmRwmIWdXw
39,[NUEVO PODCAST] ✅ ¿historia en comentarios en ivoox y spotify?,https://www.youtube.com/watch?v=vdgkd5Lc9vM
40,Podcast de Cine PREMIERE #199 - Películas favoritas,https://www.youtube.com/watch?v=7zejV8LbA_M
41,"Podcast de Cine PREMIERE #325 - Super Pumped, Llamas de venganza",https://www.youtube.com/watch?v=oPdo1FY1T5o
42,Podcast de Cine PREMIERE #274 – Corre,https://www.youtube.com/watch?v=6zdxRoaaqhk
43,SALUD MENTAL - Podcast Katastrófico,https://www.youtube.com/watch?v=jfnrASNVA0c
44,Salud mental en tiempos de cuarentena - Podcast Episodio 1,https://www.youtube.com/watch?v=BxuAExzknDk
45,Podcast #17 - Entre Electronicos con Gastón de Proyectos LED,https://www.youtube.com/watch?v=5A6t7VkZaXo
46,Estudio Katastrófico,https://www.youtube.com/watch?v=0Pka9x7Ifa8
47,"5 Cosas que debes SACAR de tu dormitorio RÁPIDO​ Atraen pobreza, ESTRÉS, peleas y te chupa energía",https://youtu.be/3L6z6DotMhs
48,7 Hábitos Matutinos que están ARRUINANDO tu vida💀Haz esto en su lugar y verás resultados🏆 FUNCIONA,https://youtu.be/znli3qCwd68
49,5 Métodos De Ahorro Que Funcionan - Cómo Ahorrar MUCHO Dinero Sin Ganar Más,https://youtu.be/edtCbuCARn8
50,Transistores NPN y PNP | Conf: Amplificador y Conmutador,https://youtu.be/BDfzZjRa9gQ
51,Estudiar ingeniería ¿Qué tan difícil es estudiar ingeniería? ¿Necesito saber matemáticas?,https://youtu.be/M8zYUdJFm4A
52,"CIRCUITO AMPLIFICADOR DE SONIDO ESTEREO MÁS FÁCIL DEL MUNDO (TDA7073, TDA7053)|| BIEN EXPLICADO",https://youtu.be/OnpHRlZGEuQ
53,No hay nada más caro que lo gratis | YOKOI KENJ,https://youtu.be/d7AgE6LcXTA
