N,"autor ","link "
1,A Noisy World,https://www.youtube.com/watch?v=lr7rDGgtbuA
2,Olbaid Music,https://www.youtube.com/watch?v=0V-ZGcS058c
3,Viajar con los Sentidos,https://www.youtube.com/watch?v=1Z_R72z-fd0
4,Nature81,https://www.youtube.com/watch?v=mlUSmS6WGi8
5,Kiss The Heavens,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
6,Snowfall Butterflies,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
7,Lament Of The Ancients,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
8,Glimpsing Infinity,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
9,Ceremonial Library,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
10,Forest Lullabye,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
11,Swans In Flight,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
12,Faultlines,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
13,Cafe Regrette,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
14,Sinister Cathedral,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
15,Pray,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
16,Glass,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
17,Illusions,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
18,Warzone,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
19,Contrast,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
20,Never Surrender,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
21,Skylines,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
22,Sinister,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
23,Culture,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
24,Coast,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
25,As You Fade Away,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
26,Play Dead,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
27,Enough,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
28,Immortal,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
29,Winning,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
30,Get Through,https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
31,Big City,https://freesound.org/people/tosha73/sounds/495302/
32,Big City Noise,https://freesound.org/people/tosha73/sounds/580527/
33,Piccadilly_Circus_Ambience,https://freesound.org/people/habbis92/sounds/240233/
34,Heavy Rain,https://freesound.org/people/lebaston100/sounds/243628/
35,"Rain, Moderate, B.wav",https://freesound.org/people/InspectorJ/sounds/401276/
36,Colombian_Pub_Coffee_Bar_Stereo.wav,https://freesound.org/people/USBMED_Ambiences_Sound_Library/sounds/636040/
37,Metal Bar,https://freesound.org/people/stevenmaertens/sounds/449842/
38,bar chatter,https://freesound.org/people/SoundsExciting/sounds/543913/
39,Interior Bar 3,https://freesound.org/people/emilijoan/sounds/508501/
40,busy-bar-ambience,https://freesound.org/people/deleted_user_7146007/sounds/383265/
41,Good Day (Wake Up),https://studio.youtube.com/channel/UCavdi0LihAVWYodO91plkpg/music
